# Life Regenerated per second|Refills flasks |Drink Deeply |Player mod - Special |0
#% increased Mana Regeneration Rate|Spawns a Tormented Embezzler (wiki: also 8% increased rarity, 15% increased quantity)|He stole that which he was entrusted with |Spawn - Tormented Spirit |0
#% increased maximum Energy Shield|Doubles the size of magic monster packs|Brothers in arms |Map mod - Special |0
#% increased Energy Shield|Magic Monster Packs each have a Bloodline Mod|Brothers in arms|Map mod - Special|0
#% increased Physical Damage|A Blacksmith's Strongbox spawns in the area|The secrets of the forge await you|Spawn - Strongbox |0
+# to Level of Socketed Bow Gems|A Blacksmith's Strongbox spawns in the area|The secrets of the forge await you|Spawn - Strongbox |0
#% increased Projectile Speed|Enemy projectiles have chaining |Some challenges are best faced alone |Map mod - Common |0
#% increased Stun Duration on Enemies|Spawns a clone of yourself to follow you around (Only auto attacks) |If you want a job done well, there is nobody better than yourself |Player mod - Special |0
#% increased Stun Recovery|An Armourer's Strongbox spawns in the area |The garb of the warrior awaits you |Spawn - Strongbox |0
#% increased Rarity of Items found|Every open inventory slot is filled with 1 scroll fragment |Even the wisest are given menial chores |Reward - Currency |0
#% of Physical Attack Damage Leeched as Life|Spawns several rare devourers throughout the area|The ground beneath you tremors|Unknown|0
#% of Physical Attack Damage Leeched As Mana|An ilvl 100 map appears in the Eternal Laboratory's Map Device in Act 3 Merciless|Journeys await you|Reward - Item|0
#% reduced Attribute Requirements|The rare item sacrificed appears in the next darkshrine |Perhaps next time |Special |0
#% reduced Enemy Stun Threshold|Grants permanent Massive shrine |Courage stands tall |Player mod - Shrine |0
#% Reduced Flask Charges Used|No mana cost for skills |Power without limit |Player mod - Special |0
+# Life gained for each Enemy hit by your Attacks|Rampage is added to the area |Your anger rises |Map mod - League |0
+# Life gained for each Enemy hit by Attacks|Rampage is added to the area |Your anger rises |Map mod - League |0
+# Life gained on Kill|(40 to 50)% increased monster life, 8% increased rarity, 15% increased quantity |Tough as Nails |Map mod - Common |0
+# to maximum Life|Grants permanent Diamond shrine |Deliver pain exquisite |Player mod - Shrine |0
+# to Accuracy Rating|Enemies have 4 additional projectiles, 8% increased rarity, 15% increased quantity |Nothing is more intimidating on the battlefront than a wall of arrows |Map mod - Common |0
#% increased Accuracy Rating|Identifies every item in your inventory |The light of reason still shines|Special|0
+# to All Attributes|A random Rogue Exile spawns in the area (wiki: usually Augustina Solaria)|Any and Everything |Spawn - Rogue Exile|0
+# to Armour|Nemesis is added to the area |Your nemeses hunt you |Map mod - League |0
+# to Dexterity|Antalie Napora or Thena Moga spawns in the area |Bow and Arrow |Spawn - Rogue Exile |0
+# to Dexterity and Intelligence|Wilorin Demontamer or Ion Darkshroud spawns in the area |Dagger and Claw |Spawn - Rogue Exile |0
+# to Evasion Rating|Three packs of normal monsters spawn around the darkshrine |Beware those who lie in ambush |Spawn - Monsters |0
+# to Intelligence|Minara Anemina or Igna Phoenix spawns in the area |Wand and Focus |Spawn - Rogue Exile |0
+# to Level of Socketed Cold Gems|A Jeweller's Strongbox spawns in the area |Trinkets await you |Spawn - Strongbox |0
+# to Level of Socketed Fire Gems|A Gemcutter's Strongbox spawns in the area |Power awaits you |Spawn - Strongbox |0
+# to Level of Socketed Gems|Resets master dailies |The reward for a job well done is often another job |Special |0
+# to Level of Socketed Lightning Gems|An Ornate Strongbox spawns in the area |A valued prize awaits you |Spawn - Strongbox |0
+# to Level of Socketed Melee Gems|A Large Strongbox spawns in the area |A hoard awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Axes|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Bows|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Claws|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Daggers|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Maces|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Staves|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Swords|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with One Handed Melee Weapons|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Two Handed Melee Weapons|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Damage with Wands|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Weapon Damage while Dual wielding|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
#% increased Physical Weapon Damage while holding a shield|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
+# to Level of Socketed Minion Gems|An Artisan's Strongbox spawns in the area |True craftsmanship awaits you |Spawn - Strongbox |0
+# to maximum Energy Shield|Rare monsters on the map are cloned |Prepared for trouble? How about double? |Map mod - Special |0
+# to Maximum Mana|Spawns a Tormented Necromancer in the area |He loved the dead. Too much |Spawn - Tormented Spirit |0
Area has patches of desecrated ground|Spawns a Tormented Necromancer in the area |He loved the dead. Too much |Spawn - Tormented Spirit |0
+# to Strength|Jonah Unchained, Xandro Blooddrinker, Damoi Tui or Vickas Giantbone spawns in the area |Axe and Maul |Spawn - Rogue Exile |0
+# to Strength and Dexterity|Armios Bell, Torr Olgosso or Zacharie Desmarais spawns in the area |Sword and Board |Spawn - Rogue Exile |0
+# to Strength and Intelligence|Eoin Greyfur, Magnus Stonethorn or Tinevin Highdove spawns in the area |Sceptre and Staff |Spawn - Rogue Exile |0
+#% Chance to Block|Grants permanent Impenetrable shrine |None shall stop you |Player mod - Shrine |0
#% additional Chance to Block with Staves|Grants permanent Impenetrable shrine |None shall stop you |Player mod - Shrine |0
#% additional Block Chance while Dual Wielding|Grants permanent Impenetrable shrine |None shall stop you |Player mod - Shrine |0
+#% Chance to Block with Shields|Grants permanent Impenetrable shrine |None shall stop you |Player mod - Shrine |0
+#% to all Elemental Resistances|Three warbands spawn in the area |Heart of the conflict |Spawn - Warband |0
+#% to Chaos Resistance|The Renegades Warband spawns in the area|The Renegades rise|Spawn - Warband|0
+#% to Cold Resistance|The Mutewind Warband spawns in the area|The Mutewind rises|Spawn - Warband|0
+#% to Fire Resistance|The Redblade Warband spawns in the area|The Redblade rises|Spawn - Warband|0
+#% to Lightning Resistance|The Brinerot Warband spawns in the area|The Brinerot rises|Spawn - Warband|0
#% chance to shock|You are rewarded with 20 Cartographer's Chisels|An accurate maps makes for a rewarding journey |Reward - Currency |0
#% increased shock duration on enemies|You are rewarded with 20 Cartographer's Chisels|An accurate maps makes for a rewarding journey |Reward - Currency |1
#% increased Cast Speed with Lightning Skills|A rare monster in the area will drop five rare belt.|Keeper of the buckle|Map mod - Item|0
#% increased Critical Strike Chance with Lightning Skills|A rare monster in the area will drop five rare belt.|Keeper of the buckle|Map mod - Item 0
#% increased Critical Strike Multiplier with Lightning Skills|A rare monster in the area will drop five rare belt.|Keeper of the buckle|Map mod - Item|0
#% increased totem life|A rare monster in the area will drop a large amount of currency|Keeper of wealth|Map mod - Item|0
+#% Mine Damage|Random monsters drop a sacrifice fragment (not limited to one) |Seek the Apex |Map mod - Item |0
#% increased Mine Damage|Random monsters drop a sacrifice fragment (not limited to one) |Seek the Apex |Map mod - Item |0
#% increased Mine Laying Speed|Random monsters drop a sacrifice fragment (not limited to one) |Seek the Apex |Map mod - Item |0
+#% Spell Critical Strike Chance|A rare monster in the area will drop five rare staves. |Keeper of the stave |Map mod - Item |0
#% trap throwing speed|A random monster will drop ten rares |Keeper of the hoard |Map mod - Item |0
Adds #-# Cold Damage to Attacks|Shivering Tempest|An Ice wind whips up around you|Map mod - Tempest|0
Adds #-# Cold Damage|Shivering Tempest|An Ice wind whips up around you|Map mod - Tempest|0
Adds #-# Cold Damage to Spells|Shivering Tempest|An Ice wind whips up around you|Map mod - Tempest|0
Adds #-# Fire Damage to Attacks|Seething Tempest|A wind brings a scent of smoke|Map mod - Tempest|0
Adds #-# Fire Damage|Seething Tempest|A wind brings a scent of smoke|Map mod - Tempest|0
Adds #-# Fire Damage to Spells|Seething Tempest|A wind brings a scent of smoke|Map mod - Tempest|0
Adds #-# Lightning Damage to Attacks|Galvanizing Tempest|A storm approaches |Map mod - Tempest|0
Adds #-# Lightning Damage|Galvanizing Tempest|A storm approaches |Map mod - Tempest|0
Adds #-# Lightning Damage to Spells|Galvanizing Tempest|A storm approaches |Map mod - Tempest|0
Adds #-# Chaos Damage|Corrupting Tempest|You catch a faint smell of corruption on the wind|Map mod - Tempest|0
Adds #-# Chaos Damage to Attacks|Corrupting Tempest|You catch a faint smell of corruption on the wind|Map mod - Tempest|0
Adds #-# Chaos Damage to Spells|Corrupting Tempest|You catch a faint smell of corruption on the wind|Map mod - Tempest|0
Adds #-# Physical Damage|Monsters fracture, 12% increased rarity, 25% increased quantity |Kill one head and more will rise to take its place |Map mod - Common |0
Adds #-# Physical Damage to Attacks|Monsters fracture, 12% increased rarity, 25% increased quantity |Kill one head and more will rise to take its place |Map mod - Common |0
Area has patches of burning ground|A Redblade warband spawns with 3 leaders|The Redblade Trial begins in 30 seconds. It ends if you run away. Be prepared to die. |Spawn - Warband |0
Area has patches of chilled ground|A Mutewind warband spawns with 3 leaders|The Mutewind Trial begins in 30 seconds. It ends if you run away. Be prepared to die. |Spawn - Warband |0
Area has patches of shocking ground|A Brinerot warband spawns with 3 leaders|The Brinerot Trial begins in 30 seconds. It ends if you run away. Be prepared to die. |Spawn - Warband |0
Corrupted|opens portals to a vaal side area|The influence of the Vaal continues long after their civilization has crumbled|Unknown|0
+#% to Fire and Cold Resistances|Spawns A Tormented Vaal Cultist |He found power in sacrifice |Spawn - Tormented Spirit |0
+#% to Cold and Lightning resistances|Spawns A Tormented Vaal Cultist |He found power in sacrifice |Spawn - Tormented Spirit |0
+#% to Fire and Lightning resistances|Spawns A Tormented Vaal Cultist |He found power in sacrifice |Spawn - Tormented Spirit |0
#% Increased Damage over Time|Perandus Bank spawns in the area |The treasures of the wealthy await you |Spawn - Strongbox |0
#% Increased Damage|Perandus Bank spawns in the area |The treasures of the wealthy await you |Spawn - Strongbox |0
#% increased Monster Attack Speed|Grants permanent Divine shrine|Become the nightmare|Player mod - Shrine|0
Reflects # Physical Damage to Melee Attackers|Grants Headhunter's ability to steal mods from rare monsters|The hunted becomes the hunter|Player mod - Special|0
#% of Physical Attack Damage Leeched as Life|Spawns aprox 20 rare devourers around the zone |The ground beneath you tremors |Spawn - Monsters |0
#% increased Spell Damage|Random Darkshrine Effect|Random Darkshrine Effect|Special|0
Monsters have #% increased Area of Effect|Grants permanent Echoing shrine|Let your rage flow freely|Player mod - Shrine|0
Players Recover Life, Mana and Energy Shield #% slower|A regular Strongbox spawns in the area|A miser's trove awaits you|Spawn - Strongbox|0
#% increased Monster Damage|Strange Barrel spawns in the area|Sensible objects await you|Spawn - Strongbox|0
Area contains many Totems|Kaom's Cache spawns in the area|The secrets of the ancestors await you|Spawn - Strongbox|0
Players have Elemental Equilibrium|Empyrean Apparatus spawns in the area|Locations far and wide await you|Spawn - Strongbox|0
+#% Monster Fire Resistance|Molten Tempest|A wind brings a whiff of ash|Map mod - Tempest|0
+#% Monster Lightning Resistance|Electrocuting Tempest|The air feels charged somehow|Map mod - Tempest|0
#% chance to Ignite|You are rewarded with 20 Blacksmith's Whetstones|Fortify yourself|Reward - Currency|0
#% increased Ignite Duration on Enemies|You are rewarded with 20 Blacksmith's Whetstones|Fortify yourself|Reward - Currency|1
#% more Rare Monsters|Drops 5 normal rarity jewels|No power but what you can make of them|Reward - Item|0
Rare Monsters each have a Nemesis Mod|Drops 5 normal rarity jewels|No power but what you can make of them|Reward - Item|1
#% increased Movement Speed|Gain all stats on the item as if it was equipped|You become one with your offering|Player mod - Item|0
#% increased Area Damage|Sockets a new random jewel into an empty (even unallocated) jewel slot (needs confirmation)|Power can be found in unexpected places|Special|0
#% increased Chaos Damage|Monsters poison on hit, 8% increased rarity, 16% increased quantity|Feel the corruption in your veins|Map mod - Common|0
#% increased maximum Mana|Players Recover Life, Mana and Energy Shield 60% slower|Your natural vitality deserts you|Map mod - Common|0
Slaying Enemies close together can attract monsters from Beyond|All enemies affected by one random Tormented Spirit's Touch|The touch of the damned|Map Mod - Special|0
#% increased Critical Strike Multiplier with One Handed Melee Weapons|A rare monster in the area will drop five rare daggers|Keeper of the knives|Map mod - Item|0
#% increased Projectile Damage|A rare monster in the area will drop five rare jewels|Keeper of the jewels|Map mod - Item|0
#% increased Totem Damage|A rare monster in the area will drop a large amount of currency|Keeper of wealth|Map mod - Item|0
Totems gain +#% to all Elemental Resistances|A rare monster in the area will drop a large amount of currency|Keeper of wealth|Map mod - Item|0
#% increased Trap Damage|A random monster will drop ten rares |Keeper of the hoard|Map mod - Item|0
Monsters deal #% extra Damage as Lightning|Spawns a Tormented Storm Cultist|He craved understanding no matter the cost|Spawn - Tormented Spirit|0
Monsters deal #% extra Damage as Cold|Spawns a Tormented Aurora Cultist|He was never bothered by the cold|Spawn - Tormented Spirit|0
Monsters deal #% extra Damage as Fire|Spawns a Tormented Arsonist Cultist|He loved to play with fire|Spawn - Tormented Spirit|0
+#% Monster Physical Damage Reduction|Battering tempest|You feel buffeted by a strong gust|Map mod - Tempest|0
#% reduced Enemy Block Chance|Battering tempest|You feel buffeted by a strong gust|Map mod - Tempest|0
Area contains two Unique Bosses|Echoing tempest|You hear a voice on the wind|Map mod - Tempest|0
Area is inhabited by Sea Witches and their Spawn|Spawns Murk Fiends throughout the area|A situation is only dangerous if can't run away from it|Spawn - Monsters|0
#% increased Attack Speed with Axes|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Bows|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Claws|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Daggers|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Maces|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Staves|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Swords|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with One Handed Melee Weapons|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Two Handed Melee Weapons|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed with Wands|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed while Dual wielding|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Attack Speed while holding a shield|Summons hostile animated weapons|Never discard a Weapon. It could be the blade that strikes you in the back|Spawn - Monsters|0
#% increased Cast speed while wielding a staff|Spawns a Tormented Forger|He was a stickler for the details|Spawn - Tormented Spirit|0
#% increased Cast speed while Dual Wielding|Spawns a Tormented Forger|He was a stickler for the details|Spawn - Tormented Spirit|0
#% increased Cast speed while holding a shield|Spawns a Tormented Forger|He was a stickler for the details|Spawn - Tormented Spirit|0
Unique Boss deals #% increased Damage|Spawns a Tormented Seditionist|He spoke the truths as he saw them|Spawn - Tormented Spirit|0
Unique Boss has #% increased Attack and Cast Speed|Spawns a Tormented Seditionist|He spoke the truths as he saw them|Spawn - Tormented Spirit|1
Monsters Poison on Hit|Spawns a Tormented Poisoner|He loved the thrill of killing his enemies. From far away.|Spawn - Tormented Spirit|0
#% increased Attack and Cast Speed|Spawns a Tormented Thug|His strength made him arrogant|Spawn - Tormented Spirit|0
#% chance to Freeze|You are rewarded with 20 Armourer's Scraps|Fortify yourself|Reward - Currency|0
#% increased Freeze Duration on Enemies|You are rewarded with 20 Armourer's Scraps|Fortify yourself|Reward - Currency|0
#% more Monster Life|Drops a regal orb after 30 seconds|Good things come to those who wait|Reward - Currency|0
Monsters cannot be Stunned|Drops a regal orb after 30 seconds|Good things come to those who wait|Reward - Currency|0
Area is inhabited by 2 additional Rogue Exiles|SLOWLY drops lots of whetstones, scraps, baubles, chisels and GCPs|Better yourself|Reward - Currency|0
#% increased Melee Critical Strike Multiplier|A rare monster in the area will drop five rare maces|Keeper of the hammer|Map mod - Item|0
#% increased Cast Speed with Fire Skills|A rare monster in the area will drop five rare amulets|Keeper of the trinkets|Map mod - Item|0
#% increased Critical Strike Chance with Fire Skills|A rare monster in the area will drop five rare amulets|Keeper of the trinkets|Map mod - Item|0
#% increased Critical Strike Multiplier with Fire Skills|A rare monster in the area will drop five rare amulets|Keeper of the trinkets|Map mod - Item|0
#% increased Cast Speed with Cold Skills|A rare monster in the area will drop five rare rings|Keeper of the ring|Map mod - Item|0
#% increased Critical Strike Chance with Cold Skills|A rare monster in the area will drop five rare rings|Keeper of the ring|Map mod - Item|0
#% increased Critical Strike Multiplier with Cold Skills|A rare monster in the area will drop five rare rings|Keeper of the ring|Map mod - Item|0
Area has increased monster variety|+80% Monster Fire Resistance|Pyromancer's bane|Map mod - Common|0
Area is inhabited by Undead|+80% Monster Cold Resistance|Auromancer's bane|Map mod - Common|0
#% increased Lightning Damage|Monsters deal (90 to 110)% extra Damage as Lightning, 8% increased rarity, 15% increased quantity|No fury in nature is greater than that of lightning|Map mod - Common|0
Area is inhabited by Skeletons|Monsters gain 3 Frenzy Charges every 20 seconds|Whipped into a frenzy|Map mod - Common|0
#% reduced Mana Cost of Skills|-(12-16)% maximum Player Resistances|Your protections fail you|Map mod - Common|0
-# to Mana Cost of Skills|Opens 6 portals to Oba's Cursed Trove|Don't tarry|Portal|0
Unique Boss has #% increased Life|Every enemy's health is reduced to 1|Deliver the killing blow|Map mod - Special|0
Unique Boss has #% increased Area of Effect|Every enemy's health is reduced to 1|Deliver the killing blow|Map mod - Special|1
Minions deal #% increased Damage|Monsters are rooted in place|Fear will root even the mighty in place|Map mod - Special|0
Minions have #% Chance to Block|Monsters are rooted in place|Fear will root even the mighty in place|Map mod - Special|0
Minions have #% increased maximum Life|Monsters are rooted in place|Fear will root even the mighty in place|Map mod - Special|0
Minions have +#% to all Elemental Resistances|Monsters are rooted in place|Fear will root even the mighty in place|Map mod - Special|0
#% increased maximum Life|An item is hidden in one of the clickables in the area|Leave no stone unturned||0
Monsters gain # Endurance Charges every 20 seconds|Clears all your vendors|Not for sale||0
Monsters gain # Endurance Charge every 20 seconds|Clears all your vendors|Not for sale||0
Monsters gain # Frenzy Charges every 20 seconds|Clears all your vendors|Not for sale||0
Monsters gain # Frenzy Charge every 20 seconds|Clears all your vendors|Not for sale||0
Monsters gain # Power Charges every 20 seconds|Clears all your vendors|Not for sale||0
Monsters gain # Power Charge every 20 seconds|Clears all your vendors|Not for sale||0
Monsters' skills Chain 2 additional times|Summons an allied Grandmaster|A worthy ally||0
Monsters fire # additional Projectiles|Summons an allied Grandmaster|A worthy ally||0
Monsters have #% increased Critical Strike Chance|Empties all flasks|Your sustenance is depleted||0
Monsters have #% increased Critical Strike Multiplier|Empties all flasks|Your sustenance is depleted||1
#% increased Spell Damage while dual wielding|Replaces all items on the ground with their vendor price|The riches you sought were all around you||0
#% increased Spell Damage while wielding a staff|Replaces all items on the ground with their vendor price|The riches you sought were all around you||0
#% increased Spell Damage while holding a shield|Replaces all items on the ground with their vendor price|The riches you sought were all around you||0
#% more Magic Monsters|Some of the monsters become allied with you|Mutiny in the ranks||0
Magic Monster Packs each have a Bloodline Mod|Some of the monsters become allied with you|Mutiny in the ranks||1
Monsters have #% chance to Avoid Elemental Status Ailments|Spawns another Darkshrine|I am Twinned||0
Monsters are immune to Elemental Status Ailments|Spawns another Darkshrine|I am Twinned||0
#% increased Flask effect duration|It fills vaal skills to full souls|Atziri's power fills you||0
Monsters reflect #% of Elemental Damage|Rare monsters killed in the next 20~ seconds drop a unique item|Rewards are seized only by those quick enough to find them||0
Monsters reflect #% of Physical Damage|Rare monsters killed in the next 20~ seconds drop a unique item|Rewards are seized only by those quick enough to find them||0
+# Mana gained for each Enemy hit by your Attacks|Area turns dark (similar to act 2 event)|Greust would not approve||0
#% increased Melee Damage|Grants permanent Brutal shrine|Player mod - Shrine|Hit hard, hit once|0
+#% Monster Cold Resistance|Glacial Tempest|You feel a sudden cold breeze|Map mod - Tempest|0
#%chance to Knock Enemies Back on hit|A rare monster in the area will drop 100 Scrolls of Wisdom.|Keeper of wisdom|Map mod - Item|0
Players have no Life or Mana Regeneration|A regular Strongbox spawns in the area|A miser's trove awaits you|Spawn - Strongbox|0
Monsters are Immune to Curses|Blasphemous Tempest|You catch a foul smell on the wind|Map mod - Tempest|0
+# to Maximum Number of Skeletons|You are rewarded with 40 Orbs of Transmutation|Success lies in having the right tools|Reward - Currency|0
#% Critical Strike Multiplier with Elemental Skills|You are rewarded with 1 Divine Orb|A gift from the divine|Reward - Currency|0
#% Critical Strike Chance with Elemental Skills|You are rewarded with 1 Divine Orb|A gift from the divine|Reward - Currency|0
#% increased Energy Shield Recharge Rate|Drops a Divination Card|More than the paper its printed on|Reward - Item|0
#% faster start of Energy Shield Recharge|Drops a Divination Card|More than the paper its printed on|Reward - Item|0
+# Energy Shield gained for each Enemy hit by your Attacks|Drops a Divination Card|More than the paper its printed on|Reward - Item|0
#% increased Melee Critical Strike Chance|A rare monster in the area will drop five rare two-handed maces|Keeper of the maul|Map mod - Item|0
#% increased Critical Strike Chance with One Handed Melee Weapons|A rare monster in the area will drop five rare claws|Keeper of the claw|Map mod - Item|0
#% increased Critical Strike Multiplier with Two Handed Melee Weapons|A rare monster in the area will drop five rare bows|Keeper of the bow|Keeper of the bow|0
#% increased Critical Strike Chance with Two Handed Melee Weapons|A rare monster in the area will drop five rare maces|Keeper of the axe|Keeper of the bow|0
#% increased Weapon Critical Strike Chance while Dual Wielding|A rare monster in the area will drop five rare swords|Keeper of the blades|Map mod - Item|0
#% increased Critical Strike Multiplier while Dual Wielding|A rare monster in the area will drop five rare two-handed swords|Keeper of the swords|Map mod - Item|0
Players are cursed with Elemental Weakness|A random monster drops a unique item|An unlikely guard for such valuable treasure|Map mod - Item|0
Players are cursed with Enfeeble|A random monster drops a unique item|An unlikely guard for such valuable treasure|Map mod - Item|0
Players are cursed with Temporal Chains|A random monster drops a unique item|An unlikely guard for such valuable treasure|Map mod - Item|0
Players are cursed with Vulnerability|A random monster drops a unique item|An unlikely guard for such valuable treasure|Map mod - Item|0
Players are cursed with Warlord's Mark|A random monster drops a unique item|An unlikely guard for such valuable treasure|Map mod - Item|0
Area is inhabited by Demons|Monsters have 360-400% increased Critical Strike Chance, Monsters have 35% increased Critical Strike Multiplier|Your enemies have all the luck|Map mod - Common|0
Area is inhabited by ranged monsters|25-30% increased Monster Damage|Careful now||0
Area is inhabited by Animals|25-30% more Monster Life, Monsters cannot be Stunned|Unflinching||0
#% of Fire Damage Leeched as Life|You are rewarded with a stack of Chance Orbs|Roll the dice|Reward - Currency|0
#% of Cold Damage Leeched as Life|You are rewarded with a stack of Chance Orbs|Roll the dice|Reward - Currency|0
#% of Lightning Damage Leeched as Life|You are rewarded with a stack of Chance Orbs|Roll the dice|Reward - Currency|0
+# to Level of Socketed Lightning Gems|True craftsmanship awaits you|An Artisan's Strongbox spawns in the area|Spawn - Strongbox|0
Area is inhabited by one additional Invasion Boss|Opens six portals to Acton's Nightmare|A soft melody plays|Portal|0
Hits can't be evaded|Opens six portals to Maelström of Chaos|Travel back in time|Portal|0
Equipped Animated Guardian Drops Item on Death|You are rewarded with a stack of Vaal Orbs|Those who will not tempt fate lack the courage of manhood|Reward - Currency|0
#% increased Melee Physical Damage while holding a Shield|A rare monster in the area will drop five rare shields|Keeper of the shield|Map mod - Item|0
-#% maximum Player Resistances|100% increased experience gained|You always were a fast learner|Map mod - Special|0
Causes Bleeding On Hit|Opens 6 portals to Vaults of Atziri|The riches of a queen|Portal|0
+# to Level of Socketed Support Gems|Opens six portals to Whakawairua Tuahu|A sacred place in the shadows|Portal|0
#% increased Critical Strike Multiplier for Spells|A rare monster in the area will drop five rare sceptres|Keeper of the sceptre|Map mod - Item|0
+#% to Quality of Socketed Support Gems|Opens six portals to Coward's Trial|A true test of nerves|Portal|0
#% increased Life Leeched per second|Opens six portals to Mao Kun|Shiver me timbers|Portal|0
Monsters Fracture|A Cartographer's Strongbox spawns in the area|A map of all the world awaits you|Spawn - Strongbox|0
Players have Blood Magic|Spawns a hostile Grandmaster|A worthy adversary|Spawn - Grandmaster|0
